Unnamed: 0,rir_file,MAT_c,c_125Hz,c_250Hz,c_500Hz,c_1kHz,c_2kHz,c_4kHz,MAT_f,f_125Hz,f_250Hz,f_500Hz,f_1kHz,f_2kHz,f_4kHz,MAT_e,e_125Hz,e_250Hz,e_500Hz,e_1kHz,e_2kHz,e_4kHz,MAT_w,w_125Hz,w_250Hz,w_500Hz,w_1kHz,w_2kHz,w_4kHz,MAT_n,n_125Hz,n_250Hz,n_500Hz,n_1kHz,n_2kHz,n_4kHz,MAT_s,s_125Hz,s_250Hz,s_500Hz,s_1kHz,s_2kHz,s_4kHz,room_x,room_y,room_z,source_x,source_y,source_z,micro_x,micro_y,micro_z
8209,./data/rir_clips/rir_room_train_8209.wav,carpet_rubber_5mm,0.04,0.04,0.08,0.12,0.1,0.1,panel_fabric_covered_6pcf,0.46,0.93,1.0,1.0,1.0,1.0,brickwork,0.01,0.02,0.02,0.03,0.03,0.04,curtains_fabric,0.1,0.38,0.63,0.52,0.55,0.65,curtains_densely_woven,0.06,0.1,0.38,0.63,0.7,0.73,lead_glazing,0.3,0.2,0.14,0.1,0.05,0.05,19.82913712283444,7.967324147871134,3.147136420779424,14.985522496539122,6.4539284652294855,0.9958734736588452,1.875763362159968,1.62156985459071,1.3181408787914104
10069,./data/rir_clips/rir_room_train_10069.wav,cocos_fibre_roll_29mm,0.1,0.13,0.22,0.35,0.47,0.57,curtains_glass_mat,0.03,0.03,0.15,0.4,0.5,0.5,carpet_thin,0.02,0.04,0.08,0.2,0.35,0.4,ceramic_tiles,0.01,0.01,0.01,0.02,0.02,0.02,blinds_open,0.03,0.06,0.13,0.28,0.49,0.56,concrete_floor,0.01,0.03,0.05,0.02,0.02,0.02,4.802935866259844,9.397929335485005,3.318363981252895,1.3316873868618524,0.8736378578239495,1.084847999277941,1.078243614068485,4.976362989536496,2.2164055950778168
2652,./data/rir_clips/rir_room_train_2652.wav,ceiling_fibre_abosrber,0.48,0.97,1.0,0.97,1.0,1.0,carpet_cotton,0.07,0.31,0.49,0.81,0.66,0.54,limestone_wall,0.02,0.02,0.03,0.04,0.05,0.05,carpet_soft_10mm,0.09,0.08,0.21,0.26,0.27,0.37,panel_fabric_covered_6pcf,0.46,0.93,1.0,1.0,1.0,1.0,brickwork,0.01,0.02,0.02,0.03,0.03,0.04,2.722887360466656,1.6018687164963084,3.9258579206000896,0.5554216196205243,0.5939193585253055,1.5327754435330323,1.4261264431342506,0.9096432730994536,2.92550679020528
6220,./data/rir_clips/rir_room_train_6220.wav,carpet_cotton,0.07,0.31,0.49,0.81,0.66,0.54,lead_glazing,0.3,0.2,0.14,0.1,0.05,0.05,stage_floor,0.1,0.07,0.06,0.06,0.06,0.06,curtains_cotton_0.5,0.3,0.45,0.65,0.56,0.59,0.71,ceramic_tiles,0.01,0.01,0.01,0.02,0.02,0.02,audience_floor,0.09,0.06,0.05,0.05,0.05,0.04,16.446385492925934,6.656836958584568,2.6362673265839223,2.587453879715218,5.269514623925562,1.4584792709788577,14.724344010314708,5.143921734479646,1.0022789371709526
8627,./data/rir_clips/rir_room_train_8627.wav,carpet_tufted_9.5mm,0.1,0.4,0.62,0.7,0.63,0.88,cocos_fibre_roll_29mm,0.1,0.13,0.22,0.35,0.47,0.57,facing_brick,0.04,0.14,0.49,0.35,0.31,0.36,rough_concrete,0.02,0.03,0.03,0.03,0.04,0.07,concrete_floor,0.01,0.03,0.05,0.02,0.02,0.02,wood_16mm,0.18,0.12,0.1,0.09,0.08,0.07,17.41526056793584,7.144826853891015,3.0600349797141364,9.06763555334242,2.437039353805581,1.689690593102651,2.7316012587793037,4.35015674292049,0.834953560335522
745,./data/rir_clips/rir_room_train_745.wav,carpet_6mm_closed_cell_foam,0.03,0.09,0.25,0.31,0.33,0.44,marble_floor,0.01,0.01,0.01,0.02,0.02,0.02,perforated_veneered_chipboard,0.41,0.67,0.58,0.59,0.68,0.35,rockwool_50mm_40kgm3,0.23,0.59,0.86,0.86,0.86,0.86,carpet_rubber_5mm,0.04,0.04,0.08,0.12,0.1,0.1,ceiling_perforated_gypsum_board,0.45,0.55,0.6,0.9,0.86,0.75,3.1726729170218047,7.134702635596348,2.587626032834319,1.6034385818725685,5.359879382381251,0.5715894947728078,0.5521900281790388,1.03048486413048,1.5597789269068107
3541,./data/rir_clips/rir_room_train_3541.wav,glass_window,0.1,0.05,0.04,0.03,0.03,0.03,reverb_chamber,0.01,0.01,0.01,0.02,0.02,0.04,facing_brick,0.04,0.14,0.49,0.35,0.31,0.36,rough_lime_wash,0.02,0.03,0.04,0.05,0.04,0.03,smooth_brickwork_10mm_pointing,0.08,0.09,0.12,0.16,0.22,0.24,wood_1.6cm,0.18,0.12,0.1,0.09,0.08,0.07,6.53549501673848,6.072746425069301,3.7909752569329225,3.736282677945051,1.8679342110777344,3.1434042351287377,3.1336418840933717,0.6176583406925213,2.806715039079666
11754,./data/rir_clips/rir_room_train_11754.wav,carpet_tufted_9m,0.08,0.08,0.3,0.6,0.75,0.8,curtains_cotton_0.33,0.03,0.12,0.15,0.27,0.37,0.42,audience_floor,0.09,0.06,0.05,0.05,0.05,0.04,carpet_cotton,0.07,0.31,0.49,0.81,0.66,0.54,stage_floor,0.1,0.07,0.06,0.06,0.06,0.06,curtains_velvet,0.05,0.12,0.35,0.45,0.38,0.36,9.939116446982592,9.93014549976292,3.024222051647027,2.662127545792773,6.588418068312889,2.178444558706315,2.9175646228422965,4.928032017109999,2.146583476278723
2004,./data/rir_clips/rir_room_train_2004.wav,carpet_6mm_open_cell_foam,0.03,0.09,0.2,0.54,0.7,0.72,carpet_1.35_kg_m2,0.08,0.24,0.57,0.69,0.71,0.73,double_glazing_10mm,0.1,0.07,0.05,0.03,0.02,0.02,panel_fabric_covered_8pcf,0.21,0.66,1.0,1.0,0.97,0.98,double_glazing_30mm,0.15,0.05,0.03,0.03,0.02,0.02,hanging_absorber_panels_2,0.2,0.3,0.6,0.75,0.7,0.7,10.373983339066733,4.497019315949043,3.4606150185248503,4.020676279819318,2.8240925461913906,2.204672691008475,1.742934195879768,2.551117013628829,2.871418587766819
7413,./data/rir_clips/rir_room_train_7413.wav,curtains_fabric,0.1,0.38,0.63,0.52,0.55,0.65,carpet_rubber_5mm,0.04,0.04,0.08,0.12,0.1,0.1,double_glazing_30mm,0.15,0.05,0.03,0.03,0.02,0.02,wooden_door,0.14,0.1,0.06,0.08,0.1,0.1,rough_concrete,0.02,0.03,0.03,0.03,0.04,0.07,ceiling_fibre_abosrber,0.48,0.97,1.0,0.97,1.0,1.0,19.72632957633504,1.8229859265739812,3.2316172916501804,17.241381286663234,0.9204317122675864,0.836605978042912,8.29441587823877,0.8045600594766001,0.7727997400834669
6572,./data/rir_clips/rir_room_train_6572.wav,curtains_densely_woven,0.06,0.1,0.38,0.63,0.7,0.73,ceiling_plasterboard,0.2,0.15,0.1,0.08,0.04,0.02,ceiling_fissured_tile,0.49,0.53,0.53,0.75,0.92,0.99,carpet_rubber_5mm,0.04,0.04,0.08,0.12,0.1,0.1,wooden_door,0.14,0.1,0.06,0.08,0.1,0.1,carpet_cotton,0.07,0.31,0.49,0.81,0.66,0.54,11.072365910485903,2.0383964076523022,3.2201372609886407,9.320327570266445,1.500936961606936,1.157204110666889,7.668071247118466,1.1116915831585672,0.5925166024918329
11465,./data/rir_clips/rir_room_train_11465.wav,carpet_tufted_9.5mm,0.1,0.4,0.62,0.7,0.63,0.88,felt_5mm,0.02,0.02,0.05,0.15,0.3,0.4,rockwool_50mm_80kgm3,0.22,0.6,0.92,0.9,0.88,0.88,cocos_fibre_roll_29mm,0.1,0.13,0.22,0.35,0.47,0.57,panel_fabric_covered_8pcf,0.21,0.66,1.0,1.0,0.97,0.98,rockwool_50mm_40kgm3,0.23,0.59,0.86,0.86,0.86,0.86,14.219645024837035,3.7827375790373865,3.371406410216572,9.59848064863283,1.4151790079215665,1.6783885284850486,6.194665825872544,1.7011425314463668,0.7253085031077953
3047,./data/rir_clips/rir_room_train_3047.wav,carpet_cotton,0.07,0.31,0.49,0.81,0.66,0.54,plywood_thin,0.42,0.21,0.1,0.08,0.06,0.06,marble_floor,0.01,0.01,0.01,0.02,0.02,0.02,ceiling_fibre_abosrber,0.48,0.97,1.0,0.97,1.0,1.0,carpet_1.35_kg_m2,0.08,0.24,0.57,0.69,0.71,0.73,ceiling_melamine_foam,0.12,0.33,0.83,0.97,0.98,0.95,16.211897260094393,2.9430289884858527,3.4339187822346102,1.900585363987369,1.1159940295285238,1.7670641853159983,11.489753275986692,2.095057358195389,2.4726895554340462
11266,./data/rir_clips/rir_room_train_11266.wav,marble_floor,0.01,0.01,0.01,0.02,0.02,0.02,mineral_wool_50mm_70kgm3,0.7,0.45,0.65,0.6,0.75,0.65,curtains_cotton_0.33,0.03,0.12,0.15,0.27,0.37,0.42,ceiling_plasterboard,0.2,0.15,0.1,0.08,0.04,0.02,audience_floor,0.09,0.06,0.05,0.05,0.05,0.04,carpet_1.35_kg_m2,0.08,0.24,0.57,0.69,0.71,0.73,3.583451615677003,2.725304930573973,2.9772033060024854,1.402037936071184,1.7187090557637783,1.8221373171626256,0.868653619937154,0.862530923521173,2.3456528196380115
10625,./data/rir_clips/rir_room_train_10625.wav,panel_fabric_covered_8pcf,0.21,0.66,1.0,1.0,0.97,0.98,curtains_densely_woven,0.06,0.1,0.38,0.63,0.7,0.73,panel_fabric_covered_6pcf,0.46,0.93,1.0,1.0,1.0,1.0,microperforated_foil_kaefer,0.06,0.28,0.7,0.68,0.74,0.53,rockwool_50mm_80kgm3,0.22,0.6,0.92,0.9,0.88,0.88,carpet_tufted_9.5mm,0.1,0.4,0.62,0.7,0.63,0.88,15.559894995638922,4.269359229151839,3.660215607869104,12.72795312779034,1.906543239910729,1.766175723550713,6.587891538169292,1.384225432613695,0.8833761439984988
1336,./data/rir_clips/rir_room_train_1336.wav,carpet_cotton,0.07,0.31,0.49,0.81,0.66,0.54,plywood_thin,0.42,0.21,0.1,0.08,0.06,0.06,lead_glazing,0.3,0.2,0.14,0.1,0.05,0.05,carpet_soft_10mm,0.09,0.08,0.21,0.26,0.27,0.37,carpet_1.35_kg_m2,0.08,0.24,0.57,0.69,0.71,0.73,ceiling_fibre_abosrber,0.48,0.97,1.0,0.97,1.0,1.0,18.5163822991727,7.13768437927394,3.4337029965024897,14.761226009577848,4.567438251298573,2.0772397685348434,5.602127635296768,2.433638318850172,2.520910560754654
9747,./data/rir_clips/rir_room_train_9747.wav,ceiling_fissured_tile,0.49,0.53,0.53,0.75,0.92,0.99,cocos_fibre_roll_29mm,0.1,0.13,0.22,0.35,0.47,0.57,wood_16mm,0.18,0.12,0.1,0.09,0.08,0.07,hanging_absorber_panels_1,0.25,0.45,0.8,0.9,0.85,0.8,rough_lime_wash,0.02,0.03,0.04,0.05,0.04,0.03,curtains_fabric_folded,0.12,0.6,0.98,1.0,1.0,1.0,14.869987301564167,4.73015340208884,2.885546453627368,10.88401510824765,0.9758429782040032,1.7339931894831142,14.179041016897022,1.0492434643513178,1.931421644860276
7819,./data/rir_clips/rir_room_train_7819.wav,rockwool_50mm_40kgm3,0.23,0.59,0.86,0.86,0.86,0.86,double_glazing_inside,0.15,0.3,0.18,0.1,0.05,0.05,glass_3mm,0.08,0.04,0.03,0.03,0.02,0.02,rough_lime_wash,0.02,0.03,0.04,0.05,0.04,0.03,curtains_cotton_0.5,0.3,0.45,0.65,0.56,0.59,0.71,wooden_door,0.14,0.1,0.06,0.08,0.1,0.1,5.262722541238951,9.470608613642815,2.7030765052572856,2.9614227323554445,5.280070850680879,2.1455634531360985,1.051143751070262,0.7659325620109457,2.199907033013879
5270,./data/rir_clips/rir_room_train_5270.wav,facing_brick,0.04,0.14,0.49,0.35,0.31,0.36,carpet_6mm_closed_cell_foam,0.03,0.09,0.25,0.31,0.33,0.44,ceiling_perforated_gypsum_board,0.45,0.55,0.6,0.9,0.86,0.75,curtains_cotton_0.33,0.03,0.12,0.15,0.27,0.37,0.42,curtains_fabric_folded,0.12,0.6,0.98,1.0,1.0,1.0,glass_3mm,0.08,0.04,0.03,0.03,0.02,0.02,7.951636597168407,4.080079712254703,2.9460588166726844,5.660338551032281,3.2948435390795217,1.5226227769291307,2.525571168030006,3.1593849340453386,2.0411000212092176
9595,./data/rir_clips/rir_room_train_9595.wav,ceiling_plasterboard,0.2,0.15,0.1,0.08,0.04,0.02,hanging_absorber_panels_1,0.25,0.45,0.8,0.9,0.85,0.8,wood_16mm,0.18,0.12,0.1,0.09,0.08,0.07,rough_lime_wash,0.02,0.03,0.04,0.05,0.04,0.03,rockwool_50mm_80kgm3,0.22,0.6,0.92,0.9,0.88,0.88,curtains_glass_mat,0.03,0.03,0.15,0.4,0.5,0.5,18.88494254596581,9.146606786191567,3.2322589237362265,6.824726662649777,3.898169279610249,0.596685311973687,14.501034133856756,0.8504586100342614,1.695624270050323
3095,./data/rir_clips/rir_room_train_3095.wav,fibre_absorber_1,0.2,0.56,0.82,0.87,0.7,0.53,ceiling_metal_panel,0.59,0.8,0.82,0.65,0.27,0.23,glass_3mm,0.08,0.04,0.03,0.03,0.02,0.02,glass_3mm,0.08,0.04,0.03,0.03,0.02,0.02,curtains_cotton_0.33,0.03,0.12,0.15,0.27,0.37,0.42,smooth_brickwork_10mm_pointing,0.08,0.09,0.12,0.16,0.22,0.24,12.55392628410823,9.561377143446812,2.798103575266802,3.380452563409043,2.70694394709028,1.0140124723271686,8.897624668892508,7.622756612332696,1.6842487275490063
4747,./data/rir_clips/rir_room_train_4747.wav,panel_fabric_covered_6pcf,0.46,0.93,1.0,1.0,1.0,1.0,felt_5mm,0.02,0.02,0.05,0.15,0.3,0.4,smooth_brickwork_flush_pointing,0.01,0.01,0.02,0.02,0.02,0.02,facing_brick,0.04,0.14,0.49,0.35,0.31,0.36,unpainted_concrete,0.01,0.01,0.02,0.02,0.02,0.05,perforated_veneered_chipboard,0.41,0.67,0.58,0.59,0.68,0.35,12.207702073902242,3.4212453984354525,2.641253272176145,11.645105260426696,2.324217978152285,1.0848951952628272,5.837719077051604,1.6805360707739905,0.5973810111614754
3285,./data/rir_clips/rir_room_train_3285.wav,rough_lime_wash,0.02,0.03,0.04,0.05,0.04,0.03,marble_floor,0.01,0.01,0.01,0.02,0.02,0.02,cocos_fibre_roll_29mm,0.1,0.13,0.22,0.35,0.47,0.57,blinds_half_open,0.03,0.09,0.24,0.46,0.79,0.76,ceiling_metal_panel,0.59,0.8,0.82,0.65,0.27,0.23,ceiling_perforated_gypsum_board,0.45,0.55,0.6,0.9,0.86,0.75,1.6494402843493807,9.93937715834931,3.427209992702061,0.627455295034994,1.7753888301102128,1.4853092132029415,0.6318557147296757,8.514866403430888,1.3915838009406951
5278,./data/rir_clips/rir_room_train_5278.wav,blinds_open,0.03,0.06,0.13,0.28,0.49,0.56,smooth_brickwork_flush_pointing,0.01,0.01,0.02,0.02,0.02,0.02,carpet_tufted_9m,0.08,0.08,0.3,0.6,0.75,0.8,carpet_1.35_kg_m2,0.08,0.24,0.57,0.69,0.71,0.73,curtains_0.2,0.05,0.06,0.39,0.63,0.7,0.73,ceiling_melamine_foam,0.12,0.33,0.83,0.97,0.98,0.95,16.994341045519953,4.523735807736037,3.9118047802143625,6.24752432260048,3.514590560919237,0.8474985910114322,14.824410089242573,3.563554661041535,0.5325775517648971
7318,./data/rir_clips/rir_room_train_7318.wav,curtains_cotton_0.33,0.03,0.12,0.15,0.27,0.37,0.42,curtains_cotton_0.33,0.03,0.12,0.15,0.27,0.37,0.42,brick_wall_rough,0.03,0.03,0.03,0.04,0.05,0.07,unpainted_concrete,0.01,0.01,0.02,0.02,0.02,0.05,rockwool_50mm_40kgm3,0.23,0.59,0.86,0.86,0.86,0.86,carpet_1.35_kg_m2,0.08,0.24,0.57,0.69,0.71,0.73,4.839079237750379,2.7314154185632544,3.4667053298614485,0.9278770753080842,1.7032873283841463,1.084891789029948,1.5493155924636473,1.305972914343415,1.990371302520277
11755,./data/rir_clips/rir_room_train_11755.wav,rough_lime_wash,0.02,0.03,0.04,0.05,0.04,0.03,smooth_brickwork_flush_pointing,0.01,0.01,0.02,0.02,0.02,0.02,double_glazing_10mm,0.1,0.07,0.05,0.03,0.02,0.02,carpet_hairy,0.11,0.14,0.37,0.43,0.27,0.25,carpet_cotton,0.07,0.31,0.49,0.81,0.66,0.54,perforated_veneered_chipboard,0.41,0.67,0.58,0.59,0.68,0.35,17.825557439503267,7.546487876660466,3.80429042186436,4.173633644143152,4.645807747091703,3.0310789602822954,16.566947863875804,4.889368541342464,2.1444619128875777
1313,./data/rir_clips/rir_room_train_1313.wav,rough_concrete,0.02,0.03,0.03,0.03,0.04,0.07,perforated_veneered_chipboard,0.41,0.67,0.58,0.59,0.68,0.35,wood_16mm,0.18,0.12,0.1,0.09,0.08,0.07,carpet_tufted_9m,0.08,0.08,0.3,0.6,0.75,0.8,ceiling_perforated_gypsum_board,0.45,0.55,0.6,0.9,0.86,0.75,carpet_thin,0.02,0.04,0.08,0.2,0.35,0.4,17.03493844576493,3.0599669731133687,3.950193081455956,9.681187007197758,0.6642991717007388,2.517452294739104,1.7792374259129615,0.6088708755897276,3.3837257261360234
4509,./data/rir_clips/rir_room_train_4509.wav,curtains_0.2,0.05,0.06,0.39,0.63,0.7,0.73,carpet_1.35_kg_m2,0.08,0.24,0.57,0.69,0.71,0.73,carpet_1.35_kg_m2,0.08,0.24,0.57,0.69,0.71,0.73,ceramic_tiles,0.01,0.01,0.01,0.02,0.02,0.02,rough_lime_wash,0.02,0.03,0.04,0.05,0.04,0.03,carpet_soft_10mm,0.09,0.08,0.21,0.26,0.27,0.37,2.705310810359443,3.192887839337157,3.98712633161046,0.6489393758890447,1.966746686604941,2.714523998935904,2.0816278856997688,0.5763078561984476,1.3665236417851554
11988,./data/rir_clips/rir_room_train_11988.wav,audience_floor,0.09,0.06,0.05,0.05,0.05,0.04,double_glazing_10mm,0.1,0.07,0.05,0.03,0.02,0.02,double_glazing_30mm,0.15,0.05,0.03,0.03,0.02,0.02,brickwork,0.01,0.02,0.02,0.03,0.03,0.04,limestone_wall,0.02,0.02,0.03,0.04,0.05,0.05,carpet_1.35_kg_m2,0.08,0.24,0.57,0.69,0.71,0.73,15.899324356258424,8.159573128581613,3.7024909252795,9.12290251225371,1.6542413875431512,1.701269195058048,7.843525370568601,1.0687176446385385,1.90401164654669
7145,./data/rir_clips/rir_room_train_7145.wav,carpet_rubber_5mm,0.04,0.04,0.08,0.12,0.1,0.1,wooden_door,0.14,0.1,0.06,0.08,0.1,0.1,double_glazing_inside,0.15,0.3,0.18,0.1,0.05,0.05,rockwool_50mm_40kgm3,0.23,0.59,0.86,0.86,0.86,0.86,curtains_cotton_0.5,0.3,0.45,0.65,0.56,0.59,0.71,felt_5mm,0.02,0.02,0.05,0.15,0.3,0.4,16.68952377170053,8.806635627216588,3.523301903121527,3.7862414421937984,2.030378028067231,0.5982944133811094,1.6705565568159282,4.992665307918125,2.709169240255964
2903,./data/rir_clips/rir_room_train_2903.wav,hard_surface,0.02,0.02,0.03,0.03,0.04,0.05,mineral_wool_50mm_40kgm3,0.15,0.7,0.6,0.6,0.85,0.9,carpet_6mm_open_cell_foam,0.03,0.09,0.2,0.54,0.7,0.72,rough_lime_wash,0.02,0.03,0.04,0.05,0.04,0.03,smooth_brickwork_flush_pointing,0.01,0.01,0.02,0.02,0.02,0.02,double_glazing_30mm,0.15,0.05,0.03,0.03,0.02,0.02,4.758861835297598,4.017954922088855,3.739774469546184,2.1801475012898237,1.8489941771952887,1.8897398347597067,1.6992418151877438,1.1566854464249792,3.055004300100216
11844,./data/rir_clips/rir_room_train_11844.wav,ceiling_metal_panel,0.59,0.8,0.82,0.65,0.27,0.23,panel_fabric_covered_8pcf,0.21,0.66,1.0,1.0,0.97,0.98,carpet_6mm_closed_cell_foam,0.03,0.09,0.25,0.31,0.33,0.44,acoustical_plaster_25mm,0.17,0.36,0.66,0.65,0.62,0.68,curtains_fabric_folded,0.12,0.6,0.98,1.0,1.0,1.0,wood_16mm,0.18,0.12,0.1,0.09,0.08,0.07,10.653887959708747,1.7361975605698747,2.98363285800223,1.653449209215281,0.9535153642536538,2.4398407770617427,7.355788526794423,1.07650654031252,0.994561829500194
7033,./data/rir_clips/rir_room_train_7033.wav,hard_surface,0.02,0.02,0.03,0.03,0.04,0.05,wooden_door,0.14,0.1,0.06,0.08,0.1,0.1,carpet_rubber_5mm,0.04,0.04,0.08,0.12,0.1,0.1,ceramic_tiles,0.01,0.01,0.01,0.02,0.02,0.02,hanging_absorber_panels_2,0.2,0.3,0.6,0.75,0.7,0.7,microperforated_foil_kaefer,0.06,0.28,0.7,0.68,0.74,0.53,2.685388211633076,9.280779393711956,2.780712185315737,0.5928038994669151,4.317414946129411,1.2050940079508792,1.5947987460084914,3.973929619018699,0.5991654763129918
